Keff_nom, Keff_std , Keff_value, Fast fission facto, Resonance escape probability, Thermal utilization factor, Neutron reproduction factor, Non-leakege probability (fast), Non-leakege probability (thermal)
0.7336511513693971,0.0008606886822551025,0.00023908977828027765,1.11714,0.99985,0.3888,1.9215,0.2703,0.00106
0.7966829305709295,0.0008934905248443305,0.0002611299457430674,1.12533,0.99983,0.42563,1.92105,0.25804,0.0011
0.8546898944989415,0.0009087024911144054,0.0002834990418792947,1.13506,0.9998,0.46077,1.92061,0.24547,0.00115
0.9128466581474141,0.00092264773817009,0.00030202658624569733,1.14506,0.99977,0.49537,1.92015,0.23308,0.00119
0.9625653184056199,0.0008676216294503413,0.0003205094228024701,1.15652,0.99973,0.52816,1.91968,0.22049,0.00124
1.0132514608330683,0.0009902537942980644,0.00033731690694185223,1.16908,0.99969,0.5605,1.91911,0.208,0.00129
1.250385913656895,0.0009996137784167292,0.00038662382020388967,1.39231,0.99877,0.79399,1.9118,0.10348,0.00177
1.3499929238686639,0.0010232584466596123,0.00013379781001842214,1.29796,0.99977,0.99702,1.89366,0.19504,0.00028
1.3003646744730204,0.0010552476396929256,0.00013565345481107052,1.36384,0.99969,0.99728,1.89273,0.16472,0.00032
1.2535151882217102,0.0009638774284288564,0.3797134668490906,1.4392,0.99958,0.9975,1.89182,0.13951,0.00036
1.2092956732147435,0.0009511099351307364,0.00013575191767335474,1.52987,0.99944,0.99768,1.891,0.11765,0.0004
1.1634528754391822,0.0010459617878191905,0.0001340761899325815,1.63869,0.99927,0.99784,1.89005,0.09867,0.00044
0.8485280016341945,0.000692162608789407,0.0001108957419729717,6.16672,0.98881,0.99871,1.8823,0.01087,0.00089
0.9033946199889072,0.000952168440755104,4.712238940788817e-05,2.28344,0.99905,0.99263,1.89049,0.04403,0.00025
0.8580888625360792,0.0010372484324504849,4.7178040768493814e-05,2.70016,0.99862,0.99353,1.88815,0.03331,0.00028
0.7937587551153408,0.0007429852479099184,4.724495692925493e-05,4.09042,0.99707,0.99489,1.88371,0.01818,0.00034
0.7697783622065841,0.0007369219078203629,4.7053379540553776e-05,5.19448,0.9957,0.99544,1.88265,0.01312,0.00037
0.751022285818162,0.0008428266319963825,4.7480100737319514e-05,6.90374,0.99357,0.99587,1.88059,0.00924,0.0004